Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

data_01	T01	4	1	1	2.92606	1.00009	2.00018	((4_0_0:0.19362058,3_1_0:0.19362058):0.80647179,(1_0_0:0.73225690,((2_0_0:0.22331331):0.05163675):0.45730685):0.26783547);

data_02	T02	6	1	1	2.60483	0.971722	1.94344	(((1_1_0:0.07657512,1_0_0:0.07657512):0.06158947,4_0_0:0.13816460):0.83355731,(4_2_0:0.22337822,(2_0_0:0.22327240,3_0_0:0.22327240):0.00010582):0.74834369);

data_03	T03	5	1	1	2.0588	0.509683	1.01937	((3_0_0:0.22331128,2_0_0:0.22331128):0.28637122,((4_0_0:0.36199662,1_0_0:0.36199662):0.09212635,1_1_0:0.45412297):0.05555954);

data_04	T04	4	1	1	1.8932	0.771936	1.54387	((2_0_0:0.22327124,3_0_0:0.22327124):0.54866472,(4_0_0:0.12605763,1_0_0:0.12605763):0.64587833);

data_05	T05	4	1	1	2.99133	1.00002	2.00004	(4_0_0:1.00002165,(1_0_0:0.88646235,(2_0_0:0.10481994,3_0_0:0.10481994):0.78164241):0.11355930);

data_06	T06	4	1	1	2.44633	0.857259	1.71452	(((3_0_0:0.22346318,2_0_0:0.22346318):0.28488798,1_0_0:0.50835116):0.34890806,4_0_0:0.85725922);

data_07	T07	5	1	1	3.70087	1.00006	2.00012	(4_0_0:1.00005915,((1_0_0:0.59077278,1_1_0:0.59077278):0.29596087,(3_0_0:0.22324445,2_0_0:0.22324445):0.66348920):0.11332551);

data_08	T08	5	1	1	3.67646	1.00003	2.00006	(4_0_0:1.00003062,((1_0_0:0.56639297,1_1_0:0.56639297):0.32005606,(3_0_0:0.22355934,2_0_0:0.22355934):0.66288969):0.11358159);

data_09	T09	4	1	1	2.4497	1.00001	2.00002	(((1_0_0:0.09172832,3_0_0:0.09172832):0.26622120,2_0_0:0.35794952):0.64206075,4_0_0:1.00001027);

data_10	T10	4	1	1	3.1106	1.00034	2.00069	(4_0_0:1.00034347,((3_0_0:0.22336222,2_0_0:0.22336222):0.66318620,1_0_0:0.88654842):0.11379506);
